상호,주소,휘발유_편차
지에스칼텍스㈜ 판도라주유소,경남 창원시 마산회원구 무역로 163,-53.36135097785706
천년에너지 광명주유소,울산 울주군 웅촌면 웅촌로 567,-53.30860833750935
풍원주유소,경남 통영시 도산면 남해안대로 2152,-53.30228066736373
알뜰진주주유소,경남 진주시 명석면 진주대로 2248,-53.294930551711964
(주)교현 알뜰주유소,경기 양주시 장흥면 북한산로 863,-53.26646811156978
한밭원네트웍스(주)중동점,경기 부천시 원미구 부흥로 182(중동),-53.21999839737192
고봉산주유소,경기 고양시 일산동구 고봉로 464 (성석동),-53.17601035581488
가정셀프주유소,인천 서구 봉수대로 254,-53.13891458636681
옥산주유소,경남 창녕군 대합면 이방대합로 945,-53.12837631976231
진례농협주유소농기계센터,경남 김해시 진례면 서부로 558,-53.09779861386098
강나루주유소,경북 칠곡군 왜관읍 강변대로 853,-53.09739798111018
태정주유소,경북 영천시 천문로 131 (금노동),-53.03382598193572
하늘주유소,경남 창원시 마산회원구 북성로 373,-53.02378865920057
(주)다솜주유소,인천광역시 남구  주안로 1 (도화동),-52.99873222511655
(주)태산이앤엘 아름셀프주유소,경북 칠곡군 북삼읍 금오대로 108,-52.98146323119737
이마트셀프전용주유소,경기 용인시 기흥구 용구대로 2441 (마북동),-52.96853537050775
성원주유소,경기 수원시 권선구 권선로 644 (권선동),-52.966175735075545
SK가곡셀프주유소,전라남도 순천시 중앙로 432 (가곡동),-52.95604165610163
제이엠11주유소,경북 경주시 강동면 산업로 5406,-52.939438762348026
스마트주유소,경기 평택시 경기대로 1245  (이충동),-52.922619935750674
꽉 주유소,대구 서구 국채보상로 317 (평리동),-52.92023277090487
패밀리주유소,대구 북구 칠곡중앙대로 146,-52.86587693631682
유성주유소,경기도 화성시 효행로 268,-52.83062181414207
그린주유소,경기 고양시 덕양구 호국로 992,-52.79562155295357
화순LPG충전소,전남 화순군 능주면 화보로 3548,-52.78460671414049
응답하라8051주유소,대구 동구  파계로 308 (지묘동),-52.77030393227156
유카스에너지 열우물주유소,인천 부평구 경원대로 1132 (십정동),-52.76150974011453
에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),-52.72295248477962
부영파크주유소, ,-52.718618437811664
정다운주유소,대구 수성구 파동로 59 (파동),-52.708366776782675
아름다운주유소,대구 서구 달서로 67 (비산동),-52.70217792211389
마당재주유소,전북 전주시 완산구 아중로 90,-52.701367240079655
태종석유 석산알뜰주유소,경남 양산시 동면 양산대로 505,-52.67341823085452
호대종일주유소,광주 광산구 어등대로 473,-52.673340565800686
울트라주유소,경상남도 창원시 마산합포구 무학로 398,-52.657196640121626
경주율동LPG충전소,경북 경주시 대경로 4682 (율동),-52.62246812221136
옥동LPG충전소,경북 안동시 은행나무로 67 (옥동),-52.62246812221136
