구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
17년05월3주,1521.60,1359.72,1139.75,618.42,-
17년05월4주,1521.83,1374.00,1154.03,638.77,-
17년05월5주,1520.18,1364.88,1135.72,606.91,-
17년06월1주,1529.45,1364.51,1125.47,607.43,-
17년06월2주,1507.32,1348.63,1110.97,585.99,-
17년06월3주,1494.11,1341.68,1113.26,596.07,-
17년06월4주,1485.96,1324.30,1095.95,603.25,-
17년07월1주,1506.52,1359.20,1141.02,625.01,-
17년07월2주,1499.87,1341.92,1139.69,618.75,-
17년07월3주,1501.61,1339.48,1135.52,610.76,-
17년07월4주,1480.46,1341.86,1138.87,614.41,-
17년08월1주,1509.85,1341.13,1136.44,616.08,-
17년08월2주,1540.70,1383.64,1181.17,649.79,-
17년08월3주,1540.85,1381.16,1166.97,648.95,-
17년08월4주,1542.77,1386.70,1157.57,643.13,-
17년08월5주,1535.40,1375.25,1138.16,630.71,-
17년09월1주,1565.73,1410.34,1160.26,652.44,-
17년09월2주,1557.41,1407.73,1176.26,663.45,-
17년09월3주,1560.65,1423.27,1199.64,677.20,-
17년09월4주,1584.32,1417.52,1196.03,678.68,-
17년10월1주,1590.64,1433.34,1209.73,688.15,-
17년10월2주,1572.56,1419.97,1210.13,690.94,-
17년10월3주,1553.88,1408.29,1199.25,678.33,-
17년10월4주,1528.97,1389.82,1184.40,675.90,-
17년11월1주,1553.77,1398.16,1197.39,679.15,-
17년11월2주,1600.50,1445.57,1231.42,723.35,-
17년11월3주,1595.55,1447.56,1230.35,731.82,-
17년11월4주,1614.70,1453.67,1235.43,729.69,-
17년11월5주,1591.37,1442.30,1222.76,721.17,-
17년12월1주,1611.92,1459.87,1246.62,742.57,-
17년12월2주,1595.07,1453.33,1244.31,732.78,-
17년12월3주,1591.96,1445.06,1237.08,730.36,-
17년12월4주,1587.74,1437.11,1214.37,712.46,-
18년01월1주,1615.66,1448.66,1237.83,743.36,-
